2026-04-18 00:07:02.478 | ERROR    | market_data.polymarket:get_markets:127 - Gamma API error: HTTPSConnectionPool(host='gamma-api.polymarket.com', port=443): Max retries exceeded with url: /markets?active=false&limit=30&offset=0&closed=false&order=volume24Hours&ascending=false (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'gamma-api.polymarket.com'. (_ssl.c:1006)")))
2026-04-18 00:07:13.123 | ERROR    | market_data.polymarket:get_markets:127 - Gamma API error: HTTPSConnectionPool(host='gamma-api.polymarket.com', port=443): Max retries exceeded with url: /markets?active=false&limit=30&offset=0&closed=false&order=volume24Hours&ascending=false (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'gamma-api.polymarket.com'. (_ssl.c:1006)")))
2026-04-18 00:28:40.075 | ERROR    | market_data.polymarket:get_markets:129 - Gamma API error: HTTPSConnectionPool(host='gamma-api.polymarket.com', port=443): Read timed out. (read timeout=10)
2026-04-18 00:44:40.103 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.538 mean=0.550 z=-0.30
2026-04-18 00:44:40.104 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.575 mean=0.551 z=+0.58
2026-04-18 00:44:40.105 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.625 mean=0.553 z=+1.79
2026-04-18 00:44:40.105 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.611 mean=0.555 z=+1.37
2026-04-18 00:44:40.105 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.585 mean=0.558 z=+0.68
2026-04-18 00:44:40.105 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.609 mean=0.560 z=+1.27
2026-04-18 00:44:40.106 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.637 mean=0.563 z=+2.01
2026-04-18 00:44:40.106 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.637 mean=0.566 z=+1.91
2026-04-18 00:44:40.106 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.588 mean=0.568 z=+0.52
2026-04-18 00:44:40.106 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.596 mean=0.570 z=+0.72
2026-04-18 00:44:40.107 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.618 mean=0.572 z=+1.31
2026-04-18 00:44:40.107 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.586 mean=0.575 z=+0.34
2026-04-18 00:44:40.107 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.584 mean=0.577 z=+0.22
2026-04-18 00:44:40.107 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.611 mean=0.578 z=+1.12
2026-04-18 00:44:40.108 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.596 mean=0.581 z=+0.56
2026-04-18 00:44:40.108 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will BTC exceed $100k by end of 2025?... | price=0.607 mean=0.582 z=+0.95
